#
#    Period, Days, T      Frequency, 1/Days, v      Periodogram, I(v)
#
  0.403859407305307E+02   0.247610921501706E-01   0.652551155524929E-01
  0.403581267217631E+02   0.247781569965870E-01   0.935373489363544E-01
  0.403303509979353E+02   0.247952218430034E-01   0.115629679041655E+00
  0.403026134800550E+02   0.248122866894198E-01   0.126106911889735E+00
  0.402749140893471E+02   0.248293515358362E-01   0.122033614310039E+00
  0.402472527472528E+02   0.248464163822526E-01   0.103764385387938E+00
  0.402196293754290E+02   0.248634812286689E-01   0.751957485256285E-01
  0.401920438957476E+02   0.248805460750853E-01   0.430954271413039E-01
  0.401644962302947E+02   0.248976109215017E-01   0.157349719554561E-01
  0.401369863013699E+02   0.249146757679181E-01   0.114033990592932E-02
  0.401095140314853E+02   0.249317406143345E-01   0.521710359644410E-02
  0.400820793433653E+02   0.249488054607509E-01   0.302806916403333E-01
  0.400546821599453E+02   0.249658703071672E-01   0.743193914494493E-01
  0.400273224043716E+02   0.249829351535836E-01   0.131205300148641E+00
  0.400000000000000E+02   0.250000000000000E-01   0.191878292107994E+00
  0.399727148703956E+02   0.250170648464164E-01   0.246179437814465E+00
  0.399454669393320E+02   0.250341296928328E-01   0.285031423852164E+00
  0.399182561307902E+02   0.250511945392491E-01   0.302286319186188E+00
  0.398910823689585E+02   0.250682593856655E-01   0.296041481483713E+00
  0.398639455782313E+02   0.250853242320819E-01   0.268818502953813E+00
  0.398368456832087E+02   0.251023890784983E-01   0.226887412499186E+00
  0.398097826086956E+02   0.251194539249147E-01   0.178883684982514E+00
  0.397827562797013E+02   0.251365187713311E-01   0.133817247498328E+00
  0.397557666214383E+02   0.251535836177474E-01   0.993588237669048E-01
  0.397288135593220E+02   0.251706484641638E-01   0.804312313444489E-01
  0.397018970189702E+02   0.251877133105802E-01   0.785716589775350E-01
  0.396750169262018E+02   0.252047781569966E-01   0.919869402437070E-01
  0.396481732070365E+02   0.252218430034130E-01   0.116241986321351E+00
  0.396213657876944E+02   0.252389078498294E-01   0.145381966754957E+00
  0.395945945945946E+02   0.252559726962457E-01   0.173141599410396E+00
  0.395678595543552E+02   0.252730375426621E-01   0.194193677842645E+00
  0.395411605937922E+02   0.252901023890785E-01   0.205106585503868E+00
  0.395144976399191E+02   0.253071672354949E-01   0.204980201008084E+00
  0.394878706199461E+02   0.253242320819113E-01   0.195729537881487E+00
  0.394612794612795E+02   0.253412969283276E-01   0.181695669661412E+00
  0.394347240915209E+02   0.253583617747440E-01   0.169006798586948E+00
  0.394082044384667E+02   0.253754266211604E-01   0.164022836731094E+00
  0.393817204301075E+02   0.253924914675768E-01   0.171939180218873E+00
  0.393552719946273E+02   0.254095563139932E-01   0.194944666720861E+00
  0.393288590604027E+02   0.254266211604096E-01   0.231120441710117E+00
  0.393024815560027E+02   0.254436860068259E-01   0.273996943817952E+00
  0.392761394101877E+02   0.254607508532423E-01   0.313606914602971E+00
  0.392498325519089E+02   0.254778156996587E-01   0.338503238087713E+00
  0.392235609103079E+02   0.254948805460751E-01   0.338891173949854E+00
  0.391973244147157E+02   0.255119453924915E-01   0.309810212888825E+00
  0.391711229946524E+02   0.255290102389078E-01   0.253674319173041E+00
  0.391449565798263E+02   0.255460750853242E-01   0.181006312420282E+00
  0.391188251001335E+02   0.255631399317406E-01   0.109120922266118E+00
  0.390927284856571E+02   0.255802047781570E-01   0.585581978184912E-01
  0.390666666666667E+02   0.255972696245734E-01   0.480961502194916E-01
  0.390406395736176E+02   0.256143344709898E-01   0.895282161119918E-01
  0.390146471371505E+02   0.256313993174061E-01   0.183702934663057E+00
  0.389886892880905E+02   0.256484641638225E-01   0.319042687898339E+00
  0.389627659574468E+02   0.256655290102389E-01   0.473267896205639E+00
  0.389368770764120E+02   0.256825938566553E-01   0.618012232633063E+00
  0.389110225763612E+02   0.256996587030717E-01   0.725357365115825E+00
  0.388852023888520E+02   0.257167235494881E-01   0.774551614250153E+00
  0.388594164456233E+02   0.257337883959044E-01   0.757051144063811E+00
  0.388336646785951E+02   0.257508532423208E-01   0.678623694226745E+00
  0.388079470198675E+02   0.257679180887372E-01   0.557780911062144E+00
  0.387822634017207E+02   0.257849829351536E-01   0.420948188188788E+00
  0.387566137566138E+02   0.258020477815700E-01   0.295849321063331E+00
  0.387309980171844E+02   0.258191126279863E-01   0.204883183099828E+00
  0.387054161162483E+02   0.258361774744027E-01   0.160192138545284E+00
  0.386798679867987E+02   0.258532423208191E-01   0.161838339503367E+00
  0.386543535620053E+02   0.258703071672355E-01   0.199313914200765E+00
  0.386288727752142E+02   0.258873720136519E-01   0.255701539395063E+00
  0.386034255599473E+02   0.259044368600683E-01   0.313066135225339E+00
  0.385780118499013E+02   0.259215017064846E-01   0.357487388640963E+00
  0.385526315789474E+02   0.259385665529010E-01   0.382135296266348E+00
  0.385272846811308E+02   0.259556313993174E-01   0.387744933345162E+00
  0.385019710906702E+02   0.259726962457338E-01   0.380638872538649E+00
  0.384766907419567E+02   0.259897610921502E-01   0.369159240957380E+00
  0.384514435695538E+02   0.260068259385666E-01   0.359966214108889E+00
  0.384262295081967E+02   0.260238907849829E-01   0.355309298324597E+00
  0.384010484927916E+02   0.260409556313993E-01   0.352446726303468E+00
  0.383759004584152E+02   0.260580204778157E-01   0.345101382506936E+00
  0.383507853403141E+02   0.260750853242321E-01   0.326324858480653E+00
  0.383257030739045E+02   0.260921501706485E-01   0.291781706764353E+00
  0.383006535947712E+02   0.261092150170648E-01   0.242155433837963E+00
  0.382756368386675E+02   0.261262798634812E-01   0.183756784187976E+00
  0.382506527415144E+02   0.261433447098976E-01   0.127162022184827E+00
  0.382257012393999E+02   0.261604095563140E-01   0.841865262809930E-01
  0.382007822685789E+02   0.261774744027304E-01   0.642326879192834E-01
  0.381758957654723E+02   0.261945392491468E-01   0.711953076614339E-01
